,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,DeathsDeath Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,location,loc
63,1967.0,7.0,26.0,18.0,53.0,0.0,,,TURKEY:  TUNCELI,39.5,40.4,8.0,6.2,,97.0,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,"(39.5, 40.4)","Gelinpertek, Bingöl, Doğu Anadolu Bölgesi, Türkiye"
64,1968.0,9.0,3.0,8.0,19.0,52.2,3297.0,,"TURKEY:  BARTIN, AMASRA, CAKRAZ",41.8,32.3,38.0,6.6,8.0,24.0,1.0,,,200.0,3.0,,3.0,2000.0,4.0,2000.0,4.0,24.0,1.0,,,200.0,3.0,,3.0,2000.0,4.0,,,"(41.8, 32.3)","Bartın, Karadeniz Bölgesi, Türkiye"
65,1968.0,9.0,24.0,4.0,19.0,0.0,,,TURKEY,39.2,40.1,14.0,5.1,,2.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,"(39.2, 40.1)","Yayladere, Bingöl, Doğu Anadolu Bölgesi, Türkiye"
66,1969.0,3.0,23.0,21.0,8.0,0.0,,,"TURKEY:  DEMIRCI, GORDES, SINDIRGI",39.2,28.5,12.0,5.6,8.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,"(39.2, 28.5)","Çılbırcı, Sındırgı, Balıkesir, Marmara Bölgesi, Türkiye"
67,1969.0,3.0,28.0,1.0,48.0,0.0,,,"TURKEY:  ALASEHIR, SARIGOL, KIRAZ",38.6,28.4,9.0,6.5,,53.0,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,"(38.6, 28.4)","Hasanhoca, Kaplan, Salihli, Manisa, Ege Bölgesi, Türkiye"
68,1969.0,4.0,30.0,20.0,20.0,0.0,,,"TURKEY:  DEMIRCI, WESTERN ANATOLIA, ISTANBUL",39.2,28.6,9.0,5.1,,,,,,,,,2.0,,,,,,,,,,,,,,,,,"(39.2, 28.6)","Derecikören, Sındırgı, Balıkesir, Marmara Bölgesi, Türkiye"
69,1970.0,3.0,28.0,21.0,2.0,26.7,,,TURKEY:  GEDIZ,39.098,29.57,25.0,7.2,10.0,1086.0,4.0,,,1174.0,4.0,55.6,4.0,8229.0,4.0,8229.0,4.0,1086.0,4.0,,,1174.0,4.0,55.6,4.0,8229.0,4.0,5586.0,4.0,"(39.098, 29.57)","Gediz, Kütahya, Ege Bölgesi, Türkiye"
70,1970.0,4.0,23.0,9.0,1.0,0.0,,,"TURKEY:  DEMIRCI, MANISA",39.1,28.7,18.0,5.7,8.0,,1.0,,,43.0,1.0,,,150.0,3.0,150.0,3.0,,,,,43.0,1.0,,,150.0,3.0,,,"(39.1, 28.7)","Simav, Kütahya, Ege Bölgesi, Türkiye"
71,1970.0,7.0,2.0,2.0,24.0,35.7,,,TURKEY:  SIVAS,38.8,36.7,27.0,4.9,,1.0,1.0,,,,,,2.0,150.0,3.0,150.0,3.0,1.0,1.0,,,,,,2.0,150.0,3.0,,,"(38.8, 36.7)","Büyükçamurlu Pınarları, Olukkaya Mahallesi, Pınarbaşı, Kayseri, İç Anadolu Bölgesi, 38700, Türkiye"
72,1971.0,5.0,12.0,6.0,25.0,13.0,,,TURKEY:  BURDUR,37.6,29.8,23.0,5.9,6.0,100.0,2.0,,,,3.0,,3.0,,,,,100.0,2.0,,,,3.0,,3.0,,,,,"(37.6, 29.8)","Kavak, Yeşilova, Burdur, Akdeniz Bölgesi, Türkiye"
73,1971.0,5.0,22.0,16.0,43.0,58.7,,,TURKEY:  BINGOL,38.8,40.5,3.0,6.7,8.0,1000.0,3.0,,,,2.0,5.0,2.0,,,,,1000.0,3.0,,,,2.0,5.0,2.0,,,,,"(38.8, 40.5)","Ardıçtepe, Bingöl, Doğu Anadolu Bölgesi, Türkiye"
74,1974.0,2.0,1.0,0.0,1.0,2.4,,,TURKEY:  IZMIR,38.6,27.0,29.0,5.2,,2.0,1.0,,,20.0,1.0,,,,,,,2.0,1.0,,,20.0,1.0,,,,,,,"(38.6, 27.0)","Kesik Mahallesi, Menemen, Ege Bölgesi, 35660, Türkiye"
75,1975.0,3.0,27.0,5.0,15.0,6.2,,,"TURKEY:  W; CANAKKALE, ECEABAT, GELIBOLU, LAPSEKI",40.42,26.14,5.0,6.7,6.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,"(40.42, 26.14)",Türkiye
76,1975.0,9.0,6.0,9.0,20.0,10.9,,,TURKEY:  LICE,38.474,40.723,26.0,6.7,9.0,2311.0,4.0,,,3372.0,4.0,17.0,3.0,,,,,2311.0,4.0,,,3372.0,4.0,,,,,,,"(38.474, 40.723)","Lice, Diyarbakır, Güneydoğu Anadolu Bölgesi, Türkiye"
77,1976.0,3.0,25.0,11.0,55.0,39.4,,,TURKEY,41.13,43.01,18.0,4.8,,2.0,1.0,,,6.0,1.0,,2.0,,,,,2.0,1.0,,,6.0,1.0,,2.0,,,,,"(41.13, 43.01)","D 010, Meryem, Çıldır, Ardahan, Doğu Anadolu Bölgesi, Türkiye"
78,1976.0,4.0,29.0,22.0,18.0,9.1,,,TURKEY,40.89,42.85,44.0,5.5,,4.0,1.0,,,,,,2.0,,3.0,,,4.0,1.0,,,,,,2.0,,3.0,,,"(40.89, 42.85)","Çobanköy, Göle, Ardahan, Doğu Anadolu Bölgesi, Türkiye"
79,1976.0,8.0,19.0,1.0,12.0,36.7,,,TURKEY:  DENIZLI,37.7,28.89,3.0,4.9,4.0,4.0,1.0,,,50.0,1.0,,2.0,,,1800.0,4.0,4.0,1.0,,,50.0,1.0,,2.0,,,1800.0,4.0,"(37.7, 28.89)","Tavas, Denizli, Ege Bölgesi, Türkiye"
80,1976.0,11.0,24.0,12.0,22.0,17.6,,,TURKEY:  MURADIYE,39.058,44.03,36.0,7.0,10.0,5000.0,4.0,,,,3.0,60.0,4.0,,,,,5000.0,4.0,,,,3.0,60.0,4.0,,,,,"(39.058, 44.03)","Çaldıran, Van, Doğu Anadolu Bölgesi, Türkiye"
